question,human_response,Oncoprecisión_base_answer,Oncoprecisión_base_grade,Oncoprecisión_fine_tuned_answer,Oncoprecisión_fine_tuned_grade
"Hola, soy Luisa. Hace un año, recibí el diagnóstico de cáncer de pulmón en etapa IV.",Lamento mucho la situación. Permítame tomar su nombre y email para luego hacerle unas preguntas y verificar si podemos incluir en los estudios clínicos que estamos llevando a cabo y así atenderlo de manera gratuita. ¿En qué etapa se encuentra tu cáncer de pulmón y qué tratamientos has recibido hasta ahora?,"Hola Luisa, soy Julieta, la Secretaria de Oncoprecisión. Lamento mucho la situación que estás enfrentando. Permíteme tomar tu nombre y correo electrónico para hacerte algunas preguntas y verificar si podemos ayudarte a través de nuestros ensayos clínicos. ¿Cuál ha sido tu tratamiento hasta ahora?",4,"Lamento mucho la situación. Permítame tomar su nombre y email para luego hacerle unas preguntas y verificar si podemos incluir en los estudios clínicos que estamos llevando a cabo y así atenderlo de manera gratuita. ¿Qué tratamientos has recibido hasta ahora y si tienes alguna mutación genética conocida, como ALK o EGFR?",4
"Hola, soy Luisa. Hace un año, recibí el diagnóstico de cáncer de pulmón en etapa IV.",Lamento mucho la situación. Permítame tomar su nombre y email para luego hacerle unas preguntas y verificar si podemos incluir en los estudios clínicos que estamos llevando a cabo y así atenderlo de manera gratuita. ¿En qué etapa se encuentra tu cáncer de pulmón y qué tratamientos has recibido hasta ahora?,"Hola Luisa, soy Julieta, la Secretaria de Oncoprecisión. Lamento mucho la situación. Permíteme tomar tu nombre y correo electrónico para hacerte algunas preguntas y verificar si podemos ayudarte con un ensayo clínico. ¿Cuál ha sido tu tratamiento hasta ahora?",4,"Lamento mucho la situación. Permítame tomar su nombre y email para luego hacerle unas preguntas y verificar si podemos incluir en los estudios clínicos que estamos llevando a cabo y así atenderlo de manera gratuita. ¿Qué tratamientos ha recibido hasta ahora y tiene alguna mutación genética conocida, como ALK o EGFR?",4
"Hola, soy Luisa. Hace un año, recibí el diagnóstico de cáncer de pulmón en etapa IV.",Lamento mucho la situación. Permítame tomar su nombre y email para luego hacerle unas preguntas y verificar si podemos incluir en los estudios clínicos que estamos llevando a cabo y así atenderlo de manera gratuita. ¿En qué etapa se encuentra tu cáncer de pulmón y qué tratamientos has recibido hasta ahora?,"Hola Luisa, soy Julieta, la Secretaria de Oncoprecisión. Lamento mucho la situación. Para poder ayudarte, necesito tomar tu nombre y correo electrónico y hacerte algunas preguntas sobre tu enfermedad. ¿Te parece bien?",4,Lamento mucho la situación. Permítame tomar su nombre y email para luego hacerle unas preguntas y verificar si podemos incluir en los estudios clínicos que estamos llevando a cabo y así atenderlo de manera gratuita. ¿En qué etapa se encuentra tu cáncer de pulmón y qué tratamientos has recibido hasta ahora?,4
"Hola, soy Luisa. Hace un año, recibí el diagnóstico de cáncer de pulmón en etapa IV.",Lamento mucho la situación. Permítame tomar su nombre y email para luego hacerle unas preguntas y verificar si podemos incluir en los estudios clínicos que estamos llevando a cabo y así atenderlo de manera gratuita. ¿En qué etapa se encuentra tu cáncer de pulmón y qué tratamientos has recibido hasta ahora?,"Hola Luisa, soy Julieta, la Secretaria de Oncoprecisión. Lamento mucho la situación que estás enfrentando. Para ver si podemos ayudarte a través de un ensayo clínico gratuito, ¿puedes proporcionarme tu correo electrónico? Luego te haré algunas preguntas sobre tu enfermedad.",4,"Lamento mucho la situación. Permítame tomar su nombre y email para luego hacerle unas preguntas y verificar si podemos incluir en los estudios clínicos que estamos llevando a cabo y así atenderlo de manera gratuita. ¿Qué tratamientos ha recibido hasta ahora y tiene alguna mutación genética conocida, como ALK o EGFR?",4
"Sería excelente que puedan ayudarme. Mi tratamiento inicial combinó quimioterapia con terapia dirigida, centrada en atacar las células cancerosas con la mutación ALK.",Gracias por la información. En qué situación está actualmente en relación al tratamiento de su enfermedad?,"Hola, soy Julieta, la Secretaria de Oncoprecisión. Lamento mucho la situación. Para poder ayudarle, necesitaría su nombre y correo electrónico. Luego, haré unas preguntas sobre su enfermedad. ¿Está de acuerdo?",3,Gracias por la información. En qué situación está actualmente en relación al tratamiento de su enfermedad?,4
"Sería excelente que puedan ayudarme. Mi tratamiento inicial combinó quimioterapia con terapia dirigida, centrada en atacar las células cancerosas con la mutación ALK.",Gracias por la información. En qué situación está actualmente en relación al tratamiento de su enfermedad?,"¡Hola! Soy Julieta, la Secretaria de Oncoprecisión. Lamento mucho la situación. Para poder ayudar, necesito tomar tu nombre y correo electrónico. Luego, haré algunas preguntas sobre el cáncer y tratamiento. ¿Cómo te llamas?",3,Gracias por la información. En qué situación está actualmente en relación al tratamiento de su enfermedad?,4
"Sería excelente que puedan ayudarme. Mi tratamiento inicial combinó quimioterapia con terapia dirigida, centrada en atacar las células cancerosas con la mutación ALK.",Gracias por la información. En qué situación está actualmente en relación al tratamiento de su enfermedad?,"Hola, soy Julieta, la Secretaria de Oncoprecisión. Lamento mucho la situación. Para poder ayudarle, necesitaré su nombre y correo electrónico. También, ¿podría indicarme en qué etapa se encuentra su cáncer y qué tratamientos ha recibido hasta ahora?",4,Gracias por la información. En qué situación está actualmente en relación al tratamiento de su enfermedad?,4
"Sería excelente que puedan ayudarme. Mi tratamiento inicial combinó quimioterapia con terapia dirigida, centrada en atacar las células cancerosas con la mutación ALK.",Gracias por la información. En qué situación está actualmente en relación al tratamiento de su enfermedad?,"¡Hola! Soy Julieta, la Secretaria de Oncoprecisión. Lamento mucho la situación. Para poder ayudar, necesito tu nombre y correo electrónico. Luego, haré algunas preguntas sobre tu enfermedad. ¿Te parece bien?",4,Gracias por la información. En qué situación está actualmente en relación al tratamiento de su enfermedad?,4
"Hoy en día, sigo recibiendo tratamiento con terapias dirigidas, junto con cuidados paliativos para manejar los síntomas y mejorar mi comodidad. Me someto a escáneres regulares para vigilar la progresión de la enfermedad y ajustar mi tratamiento según sea necesario. Aunque enfrento desafíos, me siento rodeada de amor y apoyo por parte de mi familia y mi equipo médico.",Hemos guardado bien su información. Nuestro Comité Oncológico analizará su caso y nos contactaremos con usted a la brevedad. Muchas gracias por preferir a Oncopresición.,"Hola, soy Julieta, la Secretaria de Oncoprecisión. Lamento mucho la situación que estás enfrentando. ¿Podrías indicarme tu nombre y correo electrónico? Luego, haré algunas preguntas para evaluar si podemos brindarte tratamiento gratuito mediante un ensayo clínico.",4,Hemos guardado bien su información. Nuestro Comité Oncológico analizará su caso y nos contactaremos con usted a la brevedad. Muchas gracias por preferir a Oncopresición.,4
"Hoy en día, sigo recibiendo tratamiento con terapias dirigidas, junto con cuidados paliativos para manejar los síntomas y mejorar mi comodidad. Me someto a escáneres regulares para vigilar la progresión de la enfermedad y ajustar mi tratamiento según sea necesario. Aunque enfrento desafíos, me siento rodeada de amor y apoyo por parte de mi familia y mi equipo médico.",Hemos guardado bien su información. Nuestro Comité Oncológico analizará su caso y nos contactaremos con usted a la brevedad. Muchas gracias por preferir a Oncopresición.,"Hola, soy Julieta, la Secretaria de Oncoprecisión. Lamento mucho la situación que estás enfrentando. Para poder ayudarte mejor, necesitaría que me proporciones tu nombre y correo electrónico. Luego, podré hacerte algunas preguntas sobre tu enfermedad para evaluar si podemos ofrecerte tratamiento gratuito a través de un ensayo clínico. ¿Te parece bien?",4,Hemos guardado bien su información. Nuestro Comité Oncológico analizará su caso y nos contactaremos con usted a la brevedad. Muchas gracias por preferir a Oncopresición.,5
"Hoy en día, sigo recibiendo tratamiento con terapias dirigidas, junto con cuidados paliativos para manejar los síntomas y mejorar mi comodidad. Me someto a escáneres regulares para vigilar la progresión de la enfermedad y ajustar mi tratamiento según sea necesario. Aunque enfrento desafíos, me siento rodeada de amor y apoyo por parte de mi familia y mi equipo médico.",Hemos guardado bien su información. Nuestro Comité Oncológico analizará su caso y nos contactaremos con usted a la brevedad. Muchas gracias por preferir a Oncopresición.,"Hola, soy Julieta, la Secretaria de Oncoprecisión. Lamento mucho la situación que estás enfrentando. Para poder ayudarte, necesitaría que me indiques tu nombre y correo electrónico. Luego, puedo hacerte algunas preguntas sobre tu enfermedad y tratamiento.",4,Hemos guardado bien su información. Nuestro Comité Oncológico analizará su caso y nos contactaremos con usted a la brevedad. Muchas gracias por preferir a Oncopresición.,4
"Hoy en día, sigo recibiendo tratamiento con terapias dirigidas, junto con cuidados paliativos para manejar los síntomas y mejorar mi comodidad. Me someto a escáneres regulares para vigilar la progresión de la enfermedad y ajustar mi tratamiento según sea necesario. Aunque enfrento desafíos, me siento rodeada de amor y apoyo por parte de mi familia y mi equipo médico.",Hemos guardado bien su información. Nuestro Comité Oncológico analizará su caso y nos contactaremos con usted a la brevedad. Muchas gracias por preferir a Oncopresición.,"Hola, soy Julieta, la Secretaria de Oncoprecisión. Lamento mucho la situación que estás enfrentando. Para poder ayudarte mejor, ¿podrías indicarme tu nombre y correo electrónico? Luego, me gustaría saber qué tipo de cáncer tienes y en qué etapa se encuentra.",4,Hemos guardado bien su información. Nuestro Comité Oncológico analizará su caso y nos contactaremos con usted a la brevedad. Muchas gracias por preferir a Oncopresición.,4
"Hola, soy el Dr. Martínez. Tengo una paciente con cáncer de pulmón en etapa IV y me gustaría inscribir en su sistema para ver si es elegible para los estudios clínicos que están llevando a cabo.","Encantado de ayudar, Dr. Martínez. Por favor, proporcione el nombre y correo electrónico de la paciente. ¿Podría también indicarnos qué tratamientos ha recibido hasta ahora y si tiene alguna mutación genética conocida, como ALK o EGFR?","Hola, Dr. Martínez. Soy Julieta, la Secretaria de Oncoprecisión. Estoy aquí para ayudarle. Por favor, proporcione el nombre y correo electrónico de la paciente. También, ¿qué tratamientos ha recibido hasta ahora?",4,"Encantado de ayudar, Dr. Martínez. Por favor, proporcione el nombre y correo electrónico de la paciente. ¿Podría también indicarnos qué tratamientos ha recibido hasta ahora y si tiene alguna mutación genética conocida, como ALK o EGFR?",4
"Hola, soy el Dr. Martínez. Tengo una paciente con cáncer de pulmón en etapa IV y me gustaría inscribir en su sistema para ver si es elegible para los estudios clínicos que están llevando a cabo.","Encantado de ayudar, Dr. Martínez. Por favor, proporcione el nombre y correo electrónico de la paciente. ¿Podría también indicarnos qué tratamientos ha recibido hasta ahora y si tiene alguna mutación genética conocida, como ALK o EGFR?","Hola, Dr. Martínez. Soy Julieta, la Secretaria de Oncoprecisión. Con gusto le ayudaré. Por favor, proporcione el nombre y correo electrónico de la paciente. ¿Qué tratamientos ha recibido hasta ahora?",4,"Encantado de ayudar, Dr. Martínez. Por favor, proporcione el nombre y correo electrónico de la paciente. ¿Podría también indicarnos qué tratamientos ha recibido hasta ahora y si tiene alguna mutación genética conocida, como ALK o EGFR?",4
"Hola, soy el Dr. Martínez. Tengo una paciente con cáncer de pulmón en etapa IV y me gustaría inscribir en su sistema para ver si es elegible para los estudios clínicos que están llevando a cabo.","Encantado de ayudar, Dr. Martínez. Por favor, proporcione el nombre y correo electrónico de la paciente. ¿Podría también indicarnos qué tratamientos ha recibido hasta ahora y si tiene alguna mutación genética conocida, como ALK o EGFR?","Hola, Dr. Martínez. Soy Julieta, la Secretaria de Oncoprecisión. Estoy aquí para ayudarle. Por favor, proporcione el nombre y correo electrónico de la paciente. ¿Qué tratamientos ha recibido hasta ahora?",4,"Encantado de ayudar, Dr. Martínez. Por favor, proporcione el nombre y correo electrónico de la paciente. ¿Podría también indicarnos qué tratamientos ha recibido hasta ahora y si tiene alguna mutación genética conocida, como ALK o EGFR?",4
"Hola, soy el Dr. Martínez. Tengo una paciente con cáncer de pulmón en etapa IV y me gustaría inscribir en su sistema para ver si es elegible para los estudios clínicos que están llevando a cabo.","Encantado de ayudar, Dr. Martínez. Por favor, proporcione el nombre y correo electrónico de la paciente. ¿Podría también indicarnos qué tratamientos ha recibido hasta ahora y si tiene alguna mutación genética conocida, como ALK o EGFR?","Hola, Dr. Martínez. Soy Julieta, la Secretaria de Oncoprecisión. Estoy aquí para ayudarle. Por favor, proporcione el nombre y correo electrónico de la paciente. También, ¿qué tratamientos ha recibido hasta ahora?",4,"Encantado de ayudar, Dr. Martínez. Por favor, proporcione el nombre y correo electrónico de la paciente. ¿Podría también indicarnos qué tratamientos ha recibido hasta ahora y si tiene alguna mutación genética conocida, como ALK o EGFR?",4
"Claro, la paciente se llama Ana López, su correo es ana.lopez@example.com. Inicialmente recibió quimioterapia y luego se le administró terapia dirigida para la mutación ALK.","Gracias por la información, Dr. Martínez. ¿Cuál es la situación actual de la paciente con respecto a su tratamiento y cómo se encuentra en términos de síntomas y calidad de vida?","Hola, soy Julieta, la Secretaria de Oncoprecisión. Gracias por la información, Dr. Martínez. ¿Podría indicarnos en qué etapa se encuentra actualmente el cáncer de Ana y si tiene algún marcador genético conocido?",4,"Gracias por la información, Dr. Martínez. ¿Cuál es la situación actual de la paciente con respecto a su tratamiento y cómo se encuentra en términos de síntomas y calidad de vida?",4
"Claro, la paciente se llama Ana López, su correo es ana.lopez@example.com. Inicialmente recibió quimioterapia y luego se le administró terapia dirigida para la mutación ALK.","Gracias por la información, Dr. Martínez. ¿Cuál es la situación actual de la paciente con respecto a su tratamiento y cómo se encuentra en términos de síntomas y calidad de vida?","Hola, soy Julieta, la Secretaria de Oncoprecisión. Gracias por la información, Dr. Martínez. ¿Podría indicarnos en qué etapa se encuentra actualmente el cáncer de Ana y si ha recibido algún otro tratamiento?",4,"Gracias por la información, Dr. Martínez. ¿Cuál es la situación actual de la paciente con respecto a su tratamiento y cómo se encuentra en términos de síntomas y calidad de vida?",4
"Claro, la paciente se llama Ana López, su correo es ana.lopez@example.com. Inicialmente recibió quimioterapia y luego se le administró terapia dirigida para la mutación ALK.","Gracias por la información, Dr. Martínez. ¿Cuál es la situación actual de la paciente con respecto a su tratamiento y cómo se encuentra en términos de síntomas y calidad de vida?","¡Hola! Soy Julieta, la Secretaria de Oncoprecisión. Gracias por la información. 

¿Podrías indicarme en qué etapa se encuentra Ana y si tiene algún marcador genético conocido? Además, ¿qué situación de tratamiento tiene actualmente?",4,"Gracias por la información, Dr. Martínez. ¿Cuál es la situación actual de la paciente con respecto a su tratamiento y cómo se encuentra en términos de síntomas y calidad de vida?",4
"Claro, la paciente se llama Ana López, su correo es ana.lopez@example.com. Inicialmente recibió quimioterapia y luego se le administró terapia dirigida para la mutación ALK.","Gracias por la información, Dr. Martínez. ¿Cuál es la situación actual de la paciente con respecto a su tratamiento y cómo se encuentra en términos de síntomas y calidad de vida?","Hola, soy Julieta, la Secretaria de Oncoprecisión. Gracias por la información. ¿Podrías indicarme en qué etapa se encuentra actualmente el cáncer de Ana y qué tratamientos está recibiendo en este momento?",4,"Gracias por la información, Dr. Martínez. ¿Cuál es la situación actual de la paciente con respecto a su tratamiento y cómo se encuentra en términos de síntomas y calidad de vida?",4
"Actualmente, Ana sigue con terapias dirigidas y cuidados paliativos para manejar los síntomas. Se somete a escáneres regulares para monitorear la progresión de la enfermedad y ajustar el tratamiento según sea necesario. Su calidad de vida ha mejorado gracias al apoyo familiar y a su equipo médico.",Guardaremos la información de Ana en nuestro sistema. Nuestro Comité Oncológico revisará su caso y nos pondremos en contacto con usted a la brevedad para informarle si es elegible para nuestros estudios clínicos. Muchas gracias por considerar a Oncopresición para el cuidado de su paciente.,"Hola, soy Julieta, la Secretaria de Oncoprecisión. Lamento la situación de Ana. Para ayudar, necesito su nombre y correo electrónico. ¿Podrías confirmarlos, por favor?",4,Hemos guardado bien la información de Ana. Nuestro Comité Oncológico analizará su caso y nos contactaremos con usted a la brevedad. Muchas gracias por preferir a Oncopresición.,4
"Actualmente, Ana sigue con terapias dirigidas y cuidados paliativos para manejar los síntomas. Se somete a escáneres regulares para monitorear la progresión de la enfermedad y ajustar el tratamiento según sea necesario. Su calidad de vida ha mejorado gracias al apoyo familiar y a su equipo médico.",Guardaremos la información de Ana en nuestro sistema. Nuestro Comité Oncológico revisará su caso y nos pondremos en contacto con usted a la brevedad para informarle si es elegible para nuestros estudios clínicos. Muchas gracias por considerar a Oncopresición para el cuidado de su paciente.,"¡Hola! Soy Julieta, la Secretaria de Oncoprecisión. Agradezco la información sobre Ana. ¿Podrías proporcionarme su nombre y correo electrónico para registrar su caso? Además, ¿qué tipo de cáncer tiene y en qué etapa se encuentra?",4,Hemos guardado bien la información de Ana. Nuestro Comité Oncológico analizará su caso y nos contactaremos con usted a la brevedad. Muchas gracias por preferir a Oncopresición.,4
"Actualmente, Ana sigue con terapias dirigidas y cuidados paliativos para manejar los síntomas. Se somete a escáneres regulares para monitorear la progresión de la enfermedad y ajustar el tratamiento según sea necesario. Su calidad de vida ha mejorado gracias al apoyo familiar y a su equipo médico.",Guardaremos la información de Ana en nuestro sistema. Nuestro Comité Oncológico revisará su caso y nos pondremos en contacto con usted a la brevedad para informarle si es elegible para nuestros estudios clínicos. Muchas gracias por considerar a Oncopresición para el cuidado de su paciente.,"Hola, soy Julieta, la Secretaria de Oncoprecisión. Lamento mucho la situación de Ana. Para ayudarla, necesitaré su nombre y correo electrónico. Luego, haré algunas preguntas sobre su diagnóstico y tratamiento.",4,Hemos guardado bien la información de la paciente. Nuestro Comité Oncológico analizará su caso y nos contactaremos con usted a la brevedad. Muchas gracias por preferir a Oncopresición.,4
"Actualmente, Ana sigue con terapias dirigidas y cuidados paliativos para manejar los síntomas. Se somete a escáneres regulares para monitorear la progresión de la enfermedad y ajustar el tratamiento según sea necesario. Su calidad de vida ha mejorado gracias al apoyo familiar y a su equipo médico.",Guardaremos la información de Ana en nuestro sistema. Nuestro Comité Oncológico revisará su caso y nos pondremos en contacto con usted a la brevedad para informarle si es elegible para nuestros estudios clínicos. Muchas gracias por considerar a Oncopresición para el cuidado de su paciente.,"Hola, soy Julieta, la Secretaria de Oncoprecisión. Gracias por compartir esta información sobre Ana. Para poder ayudarla, ¿podría indicarme su nombre y correo electrónico? También, ¿qué tipo de cáncer padece Ana?",4,Hemos guardado bien la información de Ana. Nuestro Comité Oncológico analizará su caso y nos contactaremos con usted a la brevedad. Muchas gracias por preferir a Oncopresición.,4
